"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
3,"2515","愛好","àihào ","I","(VS)","love, like, be fond of, be keen on"
7,"2517","愛惜","àixí ","I","(VS)","treasure"
11,"0708","安定","āndìng ","I","(VS)","stabilize"
13,"0707","安心","ānxīn ","I","(VS)","feel at ease, be relieved, keep one's mind on sth."
16,"2542","暗","àn ","I","(VS)","dark, dim, dull, hidden, secret, unclear"
20,"2902","骯髒","āngzhāng ","I","(VS)","dirty"
31,"2010","敗","bài ","I","(VS)","lose, be defeated, beat, ruin"
54,"0400","包括","bāokuò ","I","(VS)","include, consist of, comprise, incorporate"
56,"0399","包含","bāohán ","I","(VS)","contain, embody, include"
62,"1297","保持","băochí","I","(VS)","keep, maintain, preserve"
64,"3377","寶貴","băoguì ","I","(VS)","valuable, precious"
67,"1296","保守","băoshǒu ","I","(VS)","conservative"
75,"1150","抱","bào ","I","(VS)","hold (a particular opinion or belief)"
88,"3327","爆炸","bàozhà ","I","(VS)","explode, blow up"
89,"2964","暴躁","bàozào ","I","(VS)","petulant, irascible, explosive"
91,"2233","悲痛","bēitòng ","I","(VS)","grieve, sorrow, painfully sad"
97,"2103","被動","bèidòng ","I","(VS)","passive"
105,"0504","本來","běnlái ","I","(VS)","original"
109,"2076","笨重","bènzhòng ","I","(VS)","awkward"
127,"0486","必須","bìxū ","I","(VS)","necessary, required"
129,"0485","必要","bìyào ","I","(VS)","need"
133,"1378","扁","biăn ","I","(VS)","flat"
136,"3424","變動","biàndòng ","I","(VS)","change, fluctuate"
138,"1292","便利","biànlì ","I","(VS)","facilitate"
142,"2966","標準","biāozhŭn ","I","(VS)","standard"
153,"0606","冰","bīng ","I","(VS)","feel cold, put on ice"
165,"3243","薄","bó ","I","(VS)","thin, flimsy, weak, light, lacking in warmth, cold, infertile"
169,"3244","薄弱","bóruò ","I","(VS)","frail, weak"
175,"0163","不當","búdàng ","I","(VS)","unsuitable, inappropriate"
176,"0151","不到","búdào ","I","(VS)","be less than"
177,"0168","不斷","búduàn ","I","(VS)","unceasing, continuous"
179,"0170","不顧","búgù ","I","(VS)","ignore"
183,"0147","不利","búlì ","I","(VS)","unfavorable, detrimental, unsuccessful"
185,"0153","不幸","búxìng ","I","(VS)","unfortunate"
197,"0145","不安","bùān ","I","(VS)","be anxious, be uneasy, be restless"
198,"0146","不成","bùchéng ","I","(VS)","cannot, should not, must not"
200,"0156","不得已","bùdéyĭ","I","(VS)","have no alternative"
202,"0160","不敢當","bùgăndāng ","I","(VS)","not be deserving of"
205,"0142","不合","bùhé ","I","(VS)","conflict with (opinioon, rules, etc.),"
207,"0148","不良","bùliáng","I","(VS)","bad, harmful"
208,"0166","不滿","bùmăn ","I","(VS)","resentful, dissatisfied"
210,"0138","不平","bùpíng ","I","(VS)","dissatisfied, unfair, uneven"
213,"0144","不如","bùrú ","I","(VS)","be unequal/inferior to"
217,"0152","不宜","bùyí ","I","(VS)","be unsuitable"
220,"0136","不止","bùzhǐ ","I","(VS)","not be limited (to), endless"
224,"0150","不足","bùzú ","I","(VS)","not be enough, not be worth (doing sth.), cannot, should not"
233,"1945","彩色","căisè ","I","(VS)","colorful"
238,"2778","慚愧","cánkuì ","I","(VS)","ashamed"
239,"2779","慘","căn ","I","(VS)","miserable, pitiful, tragic, cruel, savage"
242,"3104","操心","cāoxīn ","I","(VS)","trouble about, take pains, worry, care, take trouble, wrack one's brains, worry about"
267,"2063","產生","chănshēng ","I","(VS)","come into being, produce, engender, emerge"
274,"1266","長久","chángjiŭ ","I","(VS)","for a long time, permanently"
279,"1270","長途","chángtú ","I","(VS)","long distance"
286,"2389","超出","chāochū ","I","(VS)","exceed, go beyond, overstep"
287,"2393","超過","chāoguò ","I","(VS)","outstrip, surpass, exceed"
288,"2391","超級","chāojí ","I","(VS)","super"
293,"2390","超重","chāozhòng ","I","(VS)","be overweight, overweight"
296,"2982","潮溼/濕","cháoshī ","I","(VS)","moist, damp"
303,"2774","徹底","chèdǐ ","I","(VS)","complete, thorough"
310,"0719","成","chéng ","I","(VS)","accomplish, succeed"
318,"2654","誠懇","chéngkěn ","I","(VS)","sincere"
321,"0731","成熟","chéngshú","I","(VS)","ripe, mature"
324,"0870","呈現","chéngxiàn ","I","(VS)","present, appear, emerge"
328,"0727","成長","chéngzhăng ","I","(VS)","grow up, mature"
330,"0649","吃虧","chīkuī ","I","(VS)","suffer loss, come to grief"
331,"3160","遲","chí ","I","(VS)","late"
337,"0366","充分/份","chōngfèn ","I","(VS)","full,ample,abundant"
338,"0369","充滿","chōngmăn ","I","(VS)","be brimming/permeated with"
339,"0368","充實","chōngshí ","I","(VS)","substantiate,enrich,replenish"
340,"0367","充足","chōngzú ","I","(VS)","adequate; sufficient; abundant; ample"
343,"1927","崇拜","chóngbài ","I","(VS)","worship,adore"
344,"1928","崇高","chónggāo ","I","(VS)","lofty,sublime"
348,"2521","愁","chóu ","I","(VS)","worry,be anxious/grieved"
349,"3259","醜","chŏu","I","(VS)","ugly,unsightly"
352,"0372","出","chū ","I","(VS)","go/come out,exit"
355,"1245","初步","chūbù ","I","(VS)","initial,preliminary,tentative"
358,"0386","出產","chūchăn  ","I","(VS)","produce,manufacture"
359,"1247","初級","chūjí ","I","(VS)","elementary, primary"
363,"0376","出色","chūsè ","I","(VS)","outstanding,remarkable,splendid"
364,"0377","出身","chūshēn ","I","(VS)","class origin,family background;one's previous experience/occupation"
366,"0378","出事","chūshì ","I","(VS)","meet with mishap,have accident,meet with a mishap,have an accident"
372,"1819","除","chú ","I","(VS)","get rid of,eliminate,remove"
396,"2459","傳統","chuántŏng ","I","(VS)","traditional"
405,"1745","純","chún ","I","(VS)","pure,simple"
412,"1050","刺激","cìjī ","I","(VS)","stimulate, provoke, irritate, upset"
419,"1956","從事","cóngshì ","I","(VS)","be engaged in, deal with, go in for"
422,"2080","粗","cū ","I","(VS)","wide (in diameter),thick"
424,"2081","粗心","cūxīn ","I","(VS)","careless"
428,"1307","促進","cùjìn ","I","(VS)","promote, accelerate"
431,"3165","錯過","cuòguò ","I","(VS)","miss,let slip"
438,"2691","達到","dádào ","I","(VS)","achieve, reach, attain"
454,"0086","大大","dàdà ","I","(VS)","great, greatly"
455,"0111","大膽","dàdăn ","I","(VS)","audacious, bold, daring"
459,"0089","大方","dàfāng ","I","(VS)","(1) generous; (2) elegant and composed, natural and poised"
472,"0096","大型","dàxíng ","I","(VS)","large-size (machines/factories/etc.)"
473,"0107","大意","dàyì ","I","(VS)","careless"
474,"0093","大有","dàyŏu ","I","(VS)","have"
481,"0360","代表","dàibiăo ","I","(VS)","represent, indicate"
498,"2198","單純","dānchún ","I","(VS)","simple, pure, plain, artless"
499,"2199","單調","dāndiào ","I","(VS)","monotonous, dull, drab, boring"
501,"2197","單身","dānshēn ","I","(VS)","unmarried, single"
531,"1052","到底","dàodĭ","I","(VS)","to the end"
536,"1947","得分","défēn ","I","(VS)","score"
538,"1946","得了","déle ","I","(VS)","well! well! ; it's enough! ; have done with it!"
539,"1948","得意","déyì ","I","(VS)","be proud of, be exalted, be complacent"
547,"2340","等待","děngdài ","I","(VS)","wait for, await"
570,"0660","地下","dìxià ","I","(VS)","underground, secret activity"
577,"1042","典型","diănxíng ","I","(VS)","typical, representative"
581,"2712","電動","diàndòng ","I","(VS)","electric"
595,"2399","跌","dié ","I","(VS)","drop, fall"
601,"1101","定期","dìngqí ","I","(VS)","periodical, regular"
604,"0564","丟臉","diūliăn ","I","(VS)","lose face, reflect, be disgraced, humiliate"
605,"0563","丟人","diūrén ","I","(VS)","lose face, be disgraced"
611,"3204","懂得","dǒngde ","I","(VS)","understand, know"
612,"3203","懂事","dǒngshì ","I","(VS)","sensible"
614,"1576","凍","dòng ","I","(VS)","freeze, feel very cold, be frostbitten"
618,"1862","動人","dòngrén ","I","(VS)","moving, touching"
628,"1416","毒","dú ","I","(VS)","(1)poisonous; (2)malicious, murderous, with hate or intention to harm; (3)cruel,ruthless"
629,"3135","獨立","dúlì ","I","(VS)","stand alone"
631,"3137","獨特","dútè ","I","(VS)","unique, distinctive"
637,"3277","斷","duàn ","I","(VS)","break, cut off, break off"
648,"2766","對立","duìlì ","I","(VS)","oppose, set sth. against, be antagonist to"
660,"0682","多謝","duōxiè ","I","(VS)","thank you very much"
663,"1593","哦","é ","I","(VS)","inj.: softly chant (poem); recite (poem) with cadence"
666,"0789","而且","érqiě ","I","(VS)","furthermore, besides ,moreover"
669,"2312","發","fā ","I","(VS)","develop, expand, open up, discover, expose, show one's feeling"
671,"2323","發財","fācái ","I","(VS)","get rich, make a pile"
673,"2329","發達","fādá ","I","(VS)","developed, flourishing"
676,"2326","發揮","fāhuī ","I","(VS)","bring into play, give free rein to, develop (idea/etc.), elaborate"
677,"2330","發覺","fājué ","I","(VS)","find, detect, discover"
697,"2572","煩","fán ","I","(VS)","trouble"
699,"2574","煩惱","fánnăo ","I","(VS)","vexed, worried"
700,"3231","繁榮","fánróng ","I","(VS)","flourishing, prosperous, booming"
702,"0234","反","făn ","I","(VS)","to oppose, turn against, criticize,counter,revolt,rebel,combat"
711,"0239","反映","fănyìng ","I","(VS)","reflect, mirror"
721,"0290","方","fāng ","I","(VS)","square"
731,"1159","放學","fàngxué ","I","(VS)","finish classes (for the day)"
734,"1283","非法","fēifă ","I","(VS)","illegal, unlawful, illicit"
735,"1226","肥","féi ","I","(VS)","fat, fertile, rich"
736,"1228","肥胖","féipàng ","I","(VS)","fat, corpulent"
738,"2381","費","fèi ","I","(VS)","cost, spend, expend"
748,"0205","分布/佈","fēnbù ","I","(VS)","be distributed (over an area), be scattered"
752,"0215","分開","fēnkāi ","I","(VS)","separate, part, break up"
753,"0210","分明","fēnmíng ","I","(VS)","clear, evident"
755,"0214","分散","fēnsàn ","I","(VS)","disperse, scatter, decentralize"
763,"2948","憤怒","fènnù ","I","(VS)","indignant, angry"
764,"2815","瘋","fēng ","I","(VS)","spindle (of plants)"
767,"1347","封建","fēngjiàn ","I","(VS)","feudal, feudalistic"
768,"2817","瘋狂","fēngkuáng ","I","(VS)","insane, frenzied, unbridled"
771,"1546","風趣","fēngqù ","I","(VS)","humourous"
775,"2148","逢","féng ","I","(VS)","meet, come upon"
787,"1171","服","fú ","I","(VS)","(1)take (medicine); (2)obey, submit (oneself) to"
790,"2077","符合","fúhé ","I","(VS)","accord/tally with, conform to"
793,"2853","腐敗","fŭbài ","I","(VS)","corrupt"
795,"2217","富","fù ","I","(VS)","wealthy, abundant"
804,"2218","富裕","fùyù ","I","(VS)","plentiful, abundant, rich"
805,"3025","複雜","fùzá ","I","(VS)","complicated, complex"
819,"1841","乾脆","gāncuì ","I","(VS)","direct, forthright"
820,"2878","趕","găn ","I","(VS)","(1)run after, pursue; (2)drive, drive away, expel"
822,"2499","感到","găndào ","I","(VS)","feel, sense"
823,"2502","感動","găndòng ","I","(VS)","move, touch"
824,"2505","感激","gănjī ","I","(VS)","feel grateful/indebted"
827,"2501","感染","gănrăn ","I","(VS)","infect, influence, affect"
829,"2500","感受","gănshòu ","I","(VS)","be affected by, experience, feel"
831,"2506","感興趣","gănxìngqù ","I","(VS)","be interested in"
840,"1580","剛好","gānghăo ","I","(VS)","exact, just right"
845,"1826","高大","gāodà ","I","(VS)","tall and big, great, massive"
846,"1830","高度","gāodù ","I","(VS)","highly, greatly"
849,"1836","高貴","gāoguì ","I","(VS)","noble, high"
850,"1834","高級","gāojí ","I","(VS)","high-level, high-class, quality"
851,"1829","高明","gāomíng ","I","(VS)","brilliant, wise"
852,"1835","高速","gāosù ","I","(VS)","high-speed"
864,"2706","隔","gé ","I","(VS)","separate, cut off, impede"
870,"1566","個別","gèbié  ","I","(VS)","individual, specific"
873,"0626","各式各樣","gèshìgèyàng ","I","(VS)","all sorts/kinds,various"
889,"0202","公開","gōngkāi ","I","(VS)","make public, make known to public"
890,"0200","公立","gōnglì ","I","(VS)","public, established and maintained by the government"
892,"0197","公平","gōngpíng ","I","(VS)","fair, just, impartial"
897,"0198","公用","gōngyòng ","I","(VS)","be for public use"
901,"0600","共","gòng ","I","(VS)","together"
904,"0603","共同","gòngtóng ","I","(VS)","common, joint"
911,"1099","孤單","gūdān ","I","(VS)","alone, friendless"
916,"0426","古","gŭ ","I","(VS)","ancient, age-old, not following current customs/practice"
918,"0429","古典","gŭdiăn ","I","(VS)","classical"
920,"0428","古老","gŭlăo ","I","(VS)","ancient, old"
926,"3404","顧","gù ","I","(VS)","attend to, look after, take into consideration, visit, call on"
927,"1086","固定","gùdìng ","I","(VS)","flat, stabile, regular"
931,"1403","故意","gùyì ","I","(VS)","intentional, willful"
936,"1120","怪","guài ","I","(VS)","quite, very"
953,"2776","慣","guàn ","I","(VS)","habitual, customary"
958,"0585","光","guāng ","I","(VS)","bright, brilliant, shining"
959,"0586","光","guāng ","I","(VS)","naked, nude"
961,"0588","光亮","guāngliàng ","I","(VS)","bright"
963,"0587","光明","guāngmíng ","I","(VS)","bright, promising, openhearted, guileless"
964,"0590","光榮","guāngróng ","I","(VS)","honor, glory,c redit"
967,"2933","廣","guăng ","I","(VS)","wide, vast, numerous"
969,"2934","廣大","guăngdà ","I","(VS)","vast, wide, large-scale, wide-spread, numerous"
970,"2937","廣泛","guăngfàn ","I","(VS)","extensive, wide-ranging"
973,"2939","廣闊","guăngkuò ","I","(VS)","vast, broad"
994,"1888","國立","guólì ","I","(VS)","state/national maintained/run"
1007,"2700","過度","guòdù ","I","(VS)","excessive"
1008,"2697","過分/份","guòfèn ","I","(VS)","excessive, undue"
1011,"2701","過期","guòqí ","I","(VS)","overdue, be overdue, exceed the time limit, stale"
1013,"2699","過世","guòshì ","I","(VS)","die, pass away"
1028,"0885","含","hán ","I","(VS)","include"
1030,"2216","寒冷","hánlěng  ","I","(VS)","cold, frigid"
1036,"2019","毫無","háowú ","I","(VS)","completely lack"
1039,"0690","好意思","hăoyìsi  ","I","(VS)","have the nerve"
1041,"1755","耗","hào ","I","(VS)","waste time, dawdle"
1042,"0685","好","hăo ","I","(VS)","be fond of"
1043,"0689","好客","hàokè ","I","(VS)","hospitable"
1044,"0688","好奇","hàoqí ","I","(VS)","curious, full of curiosity"
1047,"0635","合","hé ","I","(VS)","be equal to, amount to"
1048,"0636","合","hé ","I","(VS)","be fitting, accord with, conform to"
1051,"0638","合不來","hébùlái ","I","(VS)","not get along well"
1054,"0644","合得來","hédelái ","I","(VS)","get along well"
1055,"0641","合法","héfă ","I","(VS)","lawful, legitimate, rightful"
1056,"0642","合格","hégé ","I","(VS)","qualify, reach standard, pass"
1057,"1076","和好","héhăo ","I","(VS)","become reconciled"
1058,"0639","合乎","héhū ","I","(VS)","conform with/to, accord/tally with"
1060,"0645","合理","hélĭ ","I","(VS)","rational, reasonable, equitable"
1062,"1075","和平","hépíng ","I","(VS)","mild, peaceful"
1063,"1077","和氣","héqì ","I","(VS)","friendly"
1064,"0646","合算","hésuàn ","I","(VS)","reckon up, total"
1065,"0647","合適","héshì ","I","(VS)","suitable, appropriate, becoming, right"
1067,"2452","黑暗","hēiàn ","I","(VS)","dark"
1071,"1375","恨","hèn ","I","(VS)","hate,regret,be exasperated"
1072,"1376","恨不得","hènbùdé ","I","(VS)","very anxious to,itch to"
1073,"3117","橫","héng ","I","(VS)","horizontal,transverse,across,sideways"
1076,"1327","厚","hòu ","I","(VS)","thick, deep, profound, kind, magnanimous, large, generous, rich/strong in flavor"
1080,"1365","後悔","hòuhuĭ ","I","(VS)","regret, repent"
1087,"1118","忽略","hūlüè ","I","(VS)","neglect, overlook ,lose sight of"
1088,"1119","忽視","hūshì ","I","(VS)","ignore, overlook, neglect"
1090,"3009","糊塗","hútú ","I","(VS)","muddled, confused, thoughtless, slipshod"
1096,"1234","花","huā ","I","(VS)","flowery, florid, profligate, blurred,false"
1106,"2565","滑","huá ","I","(VS)","slippery, smooth, cunning, crafty"
1108,"0219","化","huà ","I","(VS)","to transform physically, to disguise"
1120,"3412","歡樂","huānlè ","I","(VS)","happy, joyous, gay"
1121,"3411","歡喜","huānxĭ ","I","(VS)","like, be fond of"
1124,"3015","緩慢","huănmàn ","I","(VS)","slow"
1127,"2523","慌","huāng ","I","(VS)","lose self-possession, panic"
1132,"0765","灰","huī ","I","(VS)","gray"
1133,"1377","恢復","huīfù ","I","(VS)","resume, renew, recover, regain, restore, reinstate, rehabilitate"
1135,"0766","灰心","huīxīn ","I","(VS)","lose heart, be discouraged"
1143,"0658","回憶","huíyì ","I","(VS)","recollect, recall"
1148,"1169","昏倒","hūndăo ","I","(VS)","faint"
1150,"1170","昏迷","hūnmí ","I","(VS)","remain unconscious"
1154,"2029","混亂","hùnluàn ","I","(VS)","confused, chaotic"
1155,"1426","活該","huógāi ","I","(VS)","serve sb. right, deservedly be, be destined to, ought, should"
1157,"1427","活潑","huópō ","I","(VS)","lively, vivacious, vivid"
1158,"1428","活躍","huóyuè ","I","(VS)","enliven, animate, invigorate"
1163,"3215","獲得","huòdé ","I","(VS)","gain, acquire, win,a chieve"
1169,"1901","基本","jīběn ","I","(VS)","basic, elementary"
1172,"3129","激動","jīdòng ","I","(VS)","stirred, agitated"
1177,"3139","積極","jījí  ","I","(VS)","positive, active, energetic, vigorous"
1179,"3128","激烈","jīliè  ","I","(VS)","intense, sharp, fierce, acute"
1188,"0233","及格","jígé  ","I","(VS)","pass ,nail, make it"
1192,"1914","寂寞","jímò  ","I","(VS)","be lonely"
1197,"2432","集中","jízhōng  ","I","(VS)","focus, concentrate"
1200,"1504","計較","jìjiào  ","I","(VS)","haggle over, dispute, discuss in minute detail, mind,care"
1203,"1480","紀念","jìniàn  ","I","(VS)","commemorate, mark"
1214,"1766","記住","jìzhù ","I","(VS)","remember, learn by heart, bear in mind"
1215,"1015","佳","jiā ","I","(VS)","fine, beautiful, distinguished"
1238,"2908","價值","jiàzhí ","I","(VS)","be worth"
1242,"0711","尖","jiān ","I","(VS)","penetrating ,incisive, piercing, intense, acute, sharp, shrill"
1245,"1896","堅持","jiānchí ","I","(VS)","persist in, insist on"
1246,"1895","堅定","jiāndìng ","I","(VS)","firm, staunch, steadfast"
1247,"1894","堅決","jiānjué ","I","(VS)","firm, determined"
1248,"1897","堅強","jiānqiáng ","I","(VS)","staunch, steadfast "
1249,"0712","尖銳","jiānruì ","I","(VS)","sharp-pointed"
1254,"2283","減","jiăn ","I","(VS)","subtract, reduce, decrease, cut, lessen, diminish, deduct"
1256,"2285","減輕","jiănqīng ","I","(VS)","lighten, ease, mitigate"
1257,"2284","減少","jiănshăo ","I","(VS)","reduce, decrease"
1263,"2424","間接","jiànjiē ","I","(VS)","indirect, at indirect, roundabout"
1266,"1853","健全","jiànquán ","I","(VS)","sound, perfect"
1275,"3246","講究","jiăngjiù ","I","(VS)","tasteful, exquisite"
1280,"1532","降低","jiàngdī ","I","(VS)","reduce, cut down, drop, lower"
1281,"1533","降價","jiàngjià ","I","(VS)","lower prices"
1283,"3418","驕傲","jiāoào ","I","(VS)","be proud, take pride in"
1287,"0570","交流","jiāoliú ","I","(VS)","exchange, interflow, interchange"
1300,"1997","教","jiào ","I","(VS)","cause/ask to"
1314,"1964","接","jiē ","I","(VS)","connect, join, put together, come in contact with, come close to"
1321,"1967","接近","jiējìn ","I","(VS)","intimate, close"
1330,"2351","結合","jiéhé ","I","(VS)","combine, unite,I ntegrate, link, be joined in wedlock"
1334,"2601","節省","jiéshěng ","I","(VS)","save, thriftiness, stint, penny-pinching"
1335,"2602","節約","jiéyuē ","I","(VS)","economize, save"
1337,"2780","截止","jiézhĭ ","I","(VS)","end, close, cut off"
1351,"2844","緊急","jĭnjí ","I","(VS)","urgent, critical"
1354,"2818","盡","jìn ","I","(VS)","try one's best, put to best use"
1356,"1259","近","jìn ","I","(VS)","approach/reach (a particular level or state)"
1361,"1261","近視","jìnshì  ","I","(VS)","short-sighted"
1364,"2839","精彩","jīngcăi  ","I","(VS)","brilliant, splendid"
1369,"2607","經歷","jīnglì ","I","(VS)","go through, undergo, experience"
1372,"3429","驚人","jīngrén  ","I","(VS)","astonishing, amazing, alarming"
1373,"2840","精細","jīngxì ","I","(VS)","meticulous, fine, careful and attentive, thorough"
1374,"3430","驚訝","jīngyà  ","I","(VS)","amazed, astounded"
1375,"2610","經驗","jīngyàn ","I","(VS)","go through, experience"
1381,"3176","靜","jìng ","I","(VS)","still, quiet, calm"
1382,"2535","敬愛","jìngài ","I","(VS)","respect and love"
1383,"2036","淨化","jìnghuà ","I","(VS)","purify"
1409,"1033","具","jù ","I","(VS)","possess, have, provide, furnish"
1411,"1036","具備","jùbèi ","I","(VS)","possess, have, be provided with"
1414,"0465","巨大","jùdà ","I","(VS)","huge, gigantic"
1420,"2913","劇烈","jùliè ","I","(VS)","violent, fierce"
1423,"1037","具體","jùtĭ","I","(VS)","concrete, specific, particular"
1424,"1035","具有","jùyŏu ","I","(VS)","possess, have, be provided with"
1435,"2362","絕對","juéduì ","I","(VS)","absolute, perfect, definite"
1437,"3383","覺悟","juéwù ","I","(VS)","come to understand, realize"
1446,"2411","開","kāi ","I","(VS)","(1)blossom; (2)boil"
1453,"2417","開朗","kāilăng ","I","(VS)","open and clear, clear up"
1454,"2416","開明","kāimíng ","I","(VS)","enlightened, open-minded"
1457,"2421","開演","kāiyăn ","I","(VS)","begin (movie/business/etc.)"
1461,"1461","看不起","kànbùqĭ","I","(VS)","scorn, despise"
1462,"1466","看得起","kàndeqĭ","I","(VS)","think highly of"
1471,"0784","考取","kăoqŭ ","I","(VS)","pass entrance examination"
1477,"3456","可","kě ","I","(VS)","passable, pretty good, not bad"
1478,"0425","可靠","kěkào ","I","(VS)","reliable, trustworthy"
1479,"0424","可憐","kělián ","I","(VS)","have pity on, pity"
1480,"0418","可怕","kěpà ","I","(VS)","fearful, terrible"
1482,"2286","渴望","kěwàng ","I","(VS)","thirst/long for"
1483,"0423","可惡","kěwù ","I","(VS)","hateful, abominable"
1484,"0421","可惜","kěxí ","I","(VS)","unfortunate"
1485,"0422","可喜","kěxĭ","I","(VS)","gratifying, heartening"
1486,"0420","可笑","kěxiào ","I","(VS)","ridiculous, funny"
1489,"0851","克服","kèfú ","I","(VS)","surmount, conquer, put up with (hardship/etc.)"
1490,"1345","客觀","kèguān ","I","(VS)","objective"
1492,"1344","客滿","kèmăn ","I","(VS)","sold out, full house"
1494,"3032","課外","kèwài ","I","(VS)","extracurricular, outside class, after school"
1495,"1231","肯定","kěndìng ","I","(VS)","affirm, approve, regard as positive"
1511,"1221","空前","kōngqián ","I","(VS)","unprecedented"
1513,"1625","恐怖","kŏngbù","I","(VS)","fearful, horrible"
1515,"1218","空","kòng ","I","(VS)","free, with spare time"
1519,"2651","誇張","kuāzhāng ","I","(VS)","exaggerate, overstate"
1522,"2922","寬","kuān ","I","(VS)","wide, broad, generous, lenient, comfortably off, well-off, relax, relieve, extend"
1528,"2885","辣","là ","I","(VS)","sharp, spicy, biting (of smell/taste)"
1533,"1023","來不及","láibùjí ","I","(VS)","be too late to do sth."
1534,"1029","來得及","láidejí  ","I","(VS)","there's still time to do sth., be in time"
1541,"1025","來自","láizì  ","I","(VS)","come/stem/originate from"
1543,"3324","懶","lăn ","I","(VS)","indolent"
1544,"3325","懶得","lănde ","I","(VS)","not feel like (doing sth.), lethargic"
1545,"3395","爛","làn ","I","(VS)","mushy, sodden, mashed, rotten, decayed, fester, worn-out"
1548,"1672","浪費","làngfèi ","I","(VS)","waste, squander"
1549,"1673","浪漫","làngmàn ","I","(VS)","dissolute, debauched, romantic"
1551,"0969","牢","láo ","I","(VS)","firm, durable"
1565,"0779","老實","lăoshí ","I","(VS)","honest, frank, well-behaved, good, simple-minded, naive"
1569,"2974","樂","lè ","I","(VS)","happy, cheerful, be glad to, enjoy, be amused"
1570,"2979","樂觀","lèguān ","I","(VS)","be optimistic, be hopeful"
1573,"2975","樂意","lèyì ","I","(VS)","be willing, be ready to"
1576,"3365","類似","lèisì ","I","(VS)","similar"
1577,"0854","冷淡","lěngdàn ","I","(VS)","treat coldly, cold-shoulder, slight"
1578,"0856","冷靜","lěngjìng ","I","(VS)","sober, calm"
1584,"2046","理","lĭ","I","(VS)","take notice of, pay attention to"
